node_id,xcoord,ycoord,zcoord
108635,414664.22,4601372.33,1308
108636,414752.2,4601297.699999998,1314
108637,414668.9,4601584.2,1311
108638,414658.6,4601622.300000002,1312
108639,414587.0,4601887.500000001,1306
108640,414379.1,4602687.500000001,1317
108641,415604.7100000001,4601921.209999999,1631
108642,414512.3,4603083.0,1398
108643,414403.3,4602371.0,1315
108644,414753.1,4601870.000000001,1328
108645,414722.1,4601779.5,1324
108646,414810.5,4601617.500000001,1335
108647,414753.2,4601556.5,1324
108648,414972.54,4601270.36,1340
108649,415301.5,4599979.5,1315
108650,414685.1,4599143.0,1293
108651,415577.7,4599038.8,1313
108652,415587.48,4598727.31,1316
108653,415639.4,4598594.11,1320
108654,415839.6499999999,4598577.459999999,1340
